Age,Embarked,FamilyCount,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Ticket,Title
,C,0,6.4375,0,1008,3,male,0,2,Mr
,C,0,7.225,0,1166,3,male,0,2,Mr
,C,0,7.225,0,1224,3,male,0,2,Mr
,C,0,7.2292,0,1065,3,male,0,2,Mr
,C,0,7.2292,0,1180,3,male,0,2,Mr
,C,0,7.2292,0,1184,3,male,0,2,Mr
,C,0,7.2292,0,1231,3,male,0,2,Master
,C,0,7.8958,0,1043,3,male,0,3,Mr
,C,0,15.0458,0,1193,2,male,0,2,Mr
,C,0,15.5792,0,946,2,male,0,S,Mr
,C,0,25.7417,0,1097,1,male,0,F,Mr
,C,0,27.7208,0,1060,1,female,0,1,Mrs
,C,1,6.4375,0,1025,3,male,1,2,Mr
,C,1,14.4542,0,977,3,male,1,2,Mr
,C,1,14.4542,0,1141,3,female,1,2,Mrs
,C,1,14.4583,0,1258,3,male,1,2,Mr
,C,2,15.2458,2,1117,3,female,0,2,Mrs
,C,2,21.6792,0,921,3,male,2,2,Mr
,C,2,21.6792,0,1189,3,male,2,2,Mr
,C,2,22.3583,1,1309,3,male,1,2,Master
,Q,0,7.7208,0,1300,3,female,0,3,Miss
,Q,0,7.7333,0,1052,3,female,0,3,Miss
,Q,0,7.75,0,939,3,male,0,3,Mr
,Q,0,7.75,0,980,3,female,0,3,Ms
,Q,0,7.75,0,994,3,male,0,3,Mr
,Q,0,7.75,0,999,3,male,0,3,Mr
,Q,0,7.75,0,1016,3,male,0,3,Mr
,Q,0,7.75,0,1075,3,male,0,7,Mr
,Q,0,7.75,0,1119,3,female,0,3,Miss
,Q,0,7.75,0,1148,3,male,0,A,Mr
,Q,0,7.75,0,1163,3,male,0,3,Mr
,Q,0,7.75,0,1174,3,female,0,3,Miss
,Q,0,7.75,0,1196,3,female,0,3,Miss
,Q,0,7.75,0,1250,3,male,0,3,Mr
,Q,0,7.75,0,1272,3,male,0,3,Mr
,Q,0,7.75,0,1302,3,female,0,3,Miss
,Q,0,7.7792,0,1003,3,female,0,3,Miss
,Q,0,7.8792,0,1108,3,female,0,3,Miss
,Q,0,7.8792,0,1125,3,male,0,3,Mr
,Q,0,10.7083,0,976,2,male,0,2,Mr
,Q,0,15.5,0,1092,3,female,0,3,Miss
,Q,1,7.75,0,1013,3,male,1,3,Mr
,Q,1,15.5,0,1165,3,female,1,3,Miss
,Q,2,23.25,0,1019,3,female,2,3,Miss
,S,0,0,0,1158,1,male,0,1,Mr
,S,0,7,0,1055,3,male,0,3,Mr
,S,0,7.05,0,1103,3,male,0,S,Mr
,S,0,7.25,0,1178,3,male,0,S,Mr
,S,0,7.55,0,1062,3,male,0,S,Mr
,S,0,7.55,0,1147,3,male,0,C,Mr
,S,0,7.55,0,1159,3,male,0,C,Mr
,S,0,7.575,0,1204,3,male,0,L,Mr
,S,0,7.775,0,983,3,male,0,3,Mr
,S,0,7.8792,0,1249,3,male,0,1,Mr
,S,0,7.8875,0,1135,3,male,0,3,Mr
,S,0,7.8958,0,902,3,male,0,3,Mr
,S,0,7.8958,0,975,3,male,0,3,Mr
,S,0,7.8958,0,1157,3,male,0,3,Mr
,S,0,8.05,0,928,3,female,0,3,Miss
,S,0,8.05,0,968,3,male,0,3,Mr
,S,0,8.05,0,985,3,male,0,3,Mr
,S,0,8.05,0,1111,3,male,0,3,Mr
,S,0,8.05,0,1160,3,female,0,A,Miss
,S,0,8.05,0,1181,3,male,0,A,Mr
,S,0,8.05,0,1305,3,male,0,A,Mr
,S,0,8.05,0,1308,3,male,0,3,Mr
,S,0,8.1125,0,1091,3,female,0,6,Mrs
,S,0,8.7125,0,1000,3,male,0,3,Mr
,S,0,12.875,0,1276,2,male,0,S,Mr
,S,0,14.5,0,1274,3,female,0,3,Mrs
,S,0,21,0,957,2,female,0,F,Mrs
,S,0,26,0,1083,1,male,0,1,Mr
,S,0,26.55,0,933,1,male,0,1,Mr
,S,0,26.55,0,1040,1,male,0,1,Mr
,S,0,31.6833,0,914,1,female,0,P,Mrs
,S,0,39.6,0,1182,1,male,0,P,Mr
,S,0,51.8625,0,1038,1,male,0,1,Mr
,S,0,56.4958,0,931,3,male,0,1,Mr
,S,1,16.1,0,950,3,male,1,3,Mr
,S,2,14.5,1,1236,3,male,1,A,Master
,S,3,23.45,2,925,3,female,1,W,Mrs
,S,3,23.45,2,1136,3,male,1,W,Master
,S,4,25.4667,4,1024,3,female,0,4,Mrs
,S,10,69.55,2,1080,3,female,8,C,Miss
,S,10,69.55,9,1234,3,male,1,C,Mr
,S,10,69.55,9,1257,3,female,1,C,Mrs
0,S,2,14.4,2,1093,3,male,0,3,Master
0,S,3,20.575,2,1246,3,female,1,C,Miss
1,C,3,41.5792,2,1188,2,female,1,S,Miss
1,S,1,9.35,1,1199,3,male,0,3,Master
1,S,2,12.1833,1,1155,3,female,1,3,Miss
1,S,2,13.775,1,1173,3,male,1,S,Master
1,S,2,16.7,1,1009,3,female,1,P,Miss
1,S,3,27.75,2,1142,2,female,1,C,Miss
2,S,2,20.2125,1,1176,3,female,1,3,Miss
2,S,2,23,1,981,2,male,1,2,Master
3,S,2,13.775,1,1301,3,female,1,S,Miss
5,S,6,31.3875,2,1271,3,male,4,3,Master
6,C,2,15.2458,1,972,3,male,1,2,Master
6,C,2,134.5,2,1088,1,male,0,1,Master
6,S,4,21.075,1,1281,3,male,3,3,Master
7,C,2,15.2458,1,1053,3,male,1,2,Master
8,S,2,26,1,1095,2,female,1,2,Miss
8,S,2,32.5,2,1086,2,male,0,2,Master
9,C,2,15.2458,1,1175,3,female,1,2,Miss
9,S,1,3.1708,1,913,3,male,0,C,Master
10,Q,5,29.125,1,947,3,male,4,3,Master
10,S,7,46.9,2,1032,3,female,5,C,Miss
12,S,0,15.75,0,1012,2,female,0,C,Miss
12,S,2,14.5,1,1084,3,male,1,A,Master
12,S,3,39,1,1218,2,female,2,2,Miss
13,C,4,262.375,2,956,1,male,2,P,Master
13,S,2,20.25,2,1284,3,male,0,C,Master
13,S,6,31.3875,2,1046,3,male,4,3,Master
14,S,0,9.225,0,897,3,male,0,7,Mr
14,S,0,65,0,1122,2,male,0,2,Mr
14,S,10,69.55,2,1252,3,male,8,C,Master
15,S,2,39,2,1067,2,female,0,2,Miss
16,C,2,8.5167,1,996,3,female,1,2,Mrs
16,S,0,7.65,0,1237,3,female,0,3,Miss
17,Q,0,7.7333,0,1207,3,female,0,A,Miss
17,S,0,7.8958,0,952,3,male,0,3,Mr
17,S,0,8.6625,0,1161,3,male,0,3,Mr
17,S,0,47.1,0,1295,1,male,0,1,Mr
17,S,0,73.5,0,1104,2,male,0,S,Mr
17,S,1,16.1,1,1017,3,female,0,3,Miss
17,S,2,8.05,0,1079,3,male,2,A,Mr
18,C,0,7.2292,0,900,3,female,0,2,Mrs
18,C,0,7.2292,0,927,3,male,0,2,Mr
18,C,1,14.4542,0,1007,3,male,1,2,Mr
18,Q,0,7.2833,0,1005,3,female,0,3,Miss
18,Q,0,7.8792,0,958,3,female,0,3,Miss
18,S,0,7.75,0,954,3,male,0,3,Mr
18,S,0,7.775,0,1089,3,female,0,3,Miss
18,S,0,8.05,0,979,3,female,0,A,Miss
18,S,0,8.6625,0,1202,3,male,0,3,Mr
18,S,0,10.5,0,1232,2,male,0,C,Mr
18,S,0,13,0,1001,2,male,0,2,Mr
18,S,0,73.5,0,1244,2,male,0,S,Mr
18,S,1,53.1,0,1074,1,female,1,1,Mrs
18,S,1,60,0,1287,1,female,1,1,Mrs
18,S,2,13,1,1130,2,female,1,2,Miss
18,S,4,34.375,2,1059,3,male,2,W,Mr
19,C,2,15.7417,1,1225,3,female,1,2,Mrs
19,S,0,10.5,0,1209,2,male,0,2,Mr
19,S,0,13,0,1150,2,female,0,2,Miss
19,S,1,16.1,0,1275,3,female,1,3,Mrs
20,C,0,7.225,0,1129,3,male,0,2,Mr
20,C,0,13.8625,0,1297,2,male,0,S,Mr
20,S,0,7.8542,0,990,3,female,0,3,Miss
20,S,0,7.8542,0,1127,3,male,0,3,Mr
20,S,0,7.925,0,1143,3,male,0,S,Mr
20,S,0,36.75,0,1068,2,female,0,C,Miss
20,S,1,26,0,1167,2,female,1,2,Miss
20,S,3,23,1,944,2,female,2,2,Miss
21,C,0,7.225,0,909,3,male,0,2,Mr
21,C,1,61.3792,1,915,1,male,0,P,Mr
21,Q,0,7.75,0,1280,3,male,0,3,Mr
21,Q,0,7.8208,0,998,3,male,0,3,Mr
21,S,0,7.775,0,1151,3,male,0,3,Mr
21,S,0,7.7958,0,1115,3,male,0,3,Mr
21,S,0,7.8542,0,1153,3,male,0,3,Mr
21,S,0,7.8958,0,963,3,male,0,3,Mr
21,S,0,8.05,0,1113,3,male,0,3,Mr
21,S,0,8.6625,0,929,3,female,0,3,Miss
21,S,0,11.5,0,1269,2,male,0,2,Mr
21,S,0,13,0,1221,2,male,0,2,Mr
21,S,0,26.55,0,1123,1,female,0,1,Miss
21,S,1,6.4958,0,1124,3,male,1,3,Mr
21,S,1,11.5,0,1262,2,male,1,2,Mr
21,S,1,21,1,1078,2,female,0,S,Miss
21,S,2,24.15,0,901,3,male,2,A,Mr
22,C,0,7.225,0,919,3,male,0,2,Mr
22,C,0,7.225,0,1203,3,male,0,2,Mr
22,C,1,59.4,1,1294,1,female,0,1,Miss
22,C,1,61.9792,1,918,1,female,0,1,Miss
22,Q,0,7.725,0,955,3,female,0,3,Miss
22,S,0,7.775,0,1290,3,male,0,3,Mr
22,S,0,7.7958,0,1018,3,male,0,3,Mr
22,S,0,8.05,0,1039,3,male,0,S,Mr
22,S,0,8.9625,0,1061,3,female,0,7,Miss
22,S,0,10.5,0,1114,2,female,0,W,Mrs
22,S,0,10.5,0,1171,2,male,0,W,Mr
22,S,0,21,0,1138,2,female,0,F,Mrs
22,S,0,39.6875,0,1259,3,female,0,3,Miss
22,S,1,13.9,0,982,3,female,1,3,Mrs
22,S,2,8.6625,0,1268,3,female,2,3,Miss
22,S,2,12.2875,1,896,3,female,1,3,Mrs
22,S,2,31.5,0,1211,2,male,2,C,Mr
23,C,1,83.1583,1,1042,1,female,0,1,Mrs
23,S,0,7.05,0,1217,3,male,0,S,Mr
23,S,0,7.7958,0,1118,3,male,0,3,Mr
23,S,0,7.8542,0,1049,3,female,0,3,Miss
23,S,0,8.05,0,1030,3,female,0,S,Miss
23,S,0,8.6625,0,1172,3,female,0,3,Miss
23,S,0,10.5,0,1090,2,male,0,C,Mr
23,S,0,93.5,0,1282,1,male,0,1,Mr
23,S,1,10.5,0,1298,2,male,1,2,Mr
23,S,1,13.9,0,1064,3,male,1,3,Mr
23,S,1,82.2667,0,904,1,female,1,2,Mrs
24,C,1,27.7208,0,907,2,female,1,S,Mrs
24,C,2,37.0042,1,1253,2,female,1,S,Mrs
24,Q,0,7.25,0,1288,3,male,0,3,Mr
24,Q,0,7.75,0,962,3,female,0,3,Miss
24,Q,0,7.75,0,971,3,female,0,3,Miss
24,S,0,7.55,0,1047,3,male,0,S,Mr
24,S,0,7.775,0,1278,3,male,0,3,Mr
24,S,0,7.8542,0,1027,3,male,0,3,Mr
24,S,0,8.05,0,1021,3,male,0,3,Mr
24,S,0,8.6625,0,1195,3,male,0,3,Mr
24,S,0,9.325,0,1145,3,male,0,7,Mr
24,S,0,10.5,0,1099,2,male,0,2,Mr
24,S,0,13.5,0,1240,2,male,0,2,Mr
24,S,1,60,0,942,1,male,1,1,Mr
24,S,1,82.2667,0,1179,1,male,1,2,Mr
24,S,2,31.5,0,923,2,male,2,C,Mr
24,S,3,65,2,1277,2,female,1,2,Miss
25,C,0,7.2292,0,1213,3,male,0,2,Mr
25,C,0,26,0,986,1,male,0,1,Mr
25,C,1,55.4417,0,1256,1,female,1,1,Mrs
25,S,0,7.65,0,949,3,male,0,3,Mr
25,S,0,7.7958,0,987,3,male,0,3,Mr
25,S,0,7.8958,0,1101,3,male,0,3,Mr
25,S,0,7.925,0,937,3,male,0,S,Mr
25,S,0,9.5,0,930,3,male,0,3,Mr
25,S,0,10.5,0,1096,2,male,0,C,Mr
25,S,0,10.5,0,1243,2,male,0,F,Mr
25,S,0,31.5,0,1230,2,male,0,C,Mr
26,C,0,7.225,0,1028,3,male,0,2,Mr
26,C,1,136.7792,0,1164,1,female,1,1,Mrs
26,Q,0,7.8792,0,1273,3,male,0,3,Mr
26,S,0,7.775,0,995,3,male,0,3,Mr
26,S,0,7.775,0,1212,3,male,0,3,Mr
26,S,0,7.8958,0,1187,3,male,0,3,Mr
26,S,0,13,0,1029,2,male,0,2,Mr
26,S,0,13,0,1214,2,male,0,2,Mr
26,S,0,13,0,1238,2,male,0,2,Mr
26,S,0,13.5,0,1054,2,female,0,2,Miss
26,S,2,13.775,2,1051,3,female,0,S,Mrs
26,S,2,22.025,1,1057,3,female,1,3,Mrs
26,S,2,29,1,899,2,male,1,2,Mr
27,C,0,7.225,0,1063,3,male,0,2,Mr
27,C,0,15.0333,0,943,2,male,0,S,Mr
27,C,1,136.7792,0,1144,1,male,1,1,Mr
27,C,2,247.5208,1,1076,1,female,1,P,Mrs
27,Q,0,7.8792,0,978,3,female,0,3,Miss
27,S,0,7.8542,0,1210,3,male,0,3,Mr
27,S,0,7.8958,0,1226,3,male,0,3,Mr
27,S,0,8.6625,0,895,3,male,0,3,Mr
27,S,0,8.6625,0,1255,3,male,0,3,Mr
27,S,1,7.925,0,910,3,female,1,S,Miss
27,S,1,26,0,993,2,male,1,2,Mr
27,S,3,52,2,984,1,female,1,F,Mrs
28,C,0,27.7208,0,965,1,male,0,P,Mr
28,S,0,7.25,0,1015,3,male,0,3,Mr
28,S,0,7.775,0,1304,3,female,0,3,Miss
28,S,0,8.05,0,1149,3,male,0,3,Mr
28,S,0,10.5,0,1168,2,male,0,S,Mr
28,S,0,22.525,0,997,3,male,0,C,Mr
28,S,0,26,0,1035,2,male,0,2,Mr
28,S,5,263,2,945,1,female,3,1,Miss
29,C,0,13.8583,0,1261,2,male,0,S,Mr
29,S,0,7.8542,0,1191,3,male,0,3,Mr
29,S,0,7.925,0,964,3,female,0,3,Miss
29,S,0,7.925,0,989,3,male,0,S,Mr
29,S,0,221.7792,0,1048,1,female,0,P,Miss
29,S,1,26,0,1011,2,female,1,S,Mrs
29,S,1,26,0,1140,2,female,1,2,Mrs
29,S,1,26,0,1220,2,male,1,2,Mr
29,S,2,23,2,1154,2,female,0,2,Mrs
29,S,4,22.025,1,1286,3,male,3,3,Mr
30,C,0,12.7375,0,1156,2,male,0,C,Mr
30,C,1,13.8583,0,1112,2,female,1,S,Miss
30,C,1,57.75,0,926,1,male,1,1,Mr
30,Q,0,6.95,0,1183,3,female,0,3,Miss
30,Q,0,7.6292,0,898,3,female,0,3,Miss
30,S,0,13,0,935,2,female,0,2,Mrs
30,S,0,13,0,970,2,male,0,2,Mr
30,S,0,13,0,1072,2,male,0,2,Mr
30,S,0,26,0,1227,1,male,0,1,Mr
30,S,0,45.5,0,1190,1,male,0,1,Mr
30,S,0,164.8667,0,1292,1,female,0,3,Miss
30,S,1,15.55,0,1251,3,female,1,3,Mrs
30,S,1,21,0,1170,2,male,1,C,Mr
30,S,2,26,1,1041,2,male,1,2,Rev
30,S,3,151.55,2,1198,1,male,1,1,Mr
31,C,0,28.5375,0,960,1,male,0,2,Mr
31,C,0,134.5,0,1263,1,female,0,1,Miss
31,Q,0,7.7333,0,1291,3,male,0,2,Mr
31,S,0,21,0,1241,2,female,0,F,Miss
31,S,0,21,0,1254,2,female,0,C,Mrs
31,S,3,18,0,1037,3,male,3,3,Mr
32,C,0,211.5,0,967,1,male,0,1,Mr
32,S,0,7.5792,0,1233,3,male,0,3,Mr
32,S,0,7.775,0,1192,3,male,0,3,Mr
32,S,0,8.05,0,1022,3,male,0,S,Mr
32,S,0,9.5,0,1146,3,male,0,3,Mr
32,S,0,13,0,1228,2,male,0,2,Mr
32,S,0,13.5,0,953,2,male,0,2,Mr
32,S,0,22.525,0,1102,3,male,0,C,Mr
33,C,0,27.7208,0,1100,1,female,0,P,Miss
33,S,0,7.8542,0,1087,3,male,0,3,Mr
33,S,0,8.05,0,991,3,male,0,A,Mr
33,S,0,26.55,0,1215,1,male,0,1,Mr
33,S,0,151.55,0,1033,1,female,0,1,Miss
33,S,3,20.575,2,924,3,female,1,C,Mrs
34,Q,0,7.8292,0,892,3,male,0,3,Mr
34,S,1,26,0,1082,2,male,1,2,Mr
35,C,0,211.5,0,966,1,female,0,1,Miss
35,C,1,57.75,0,1014,1,female,1,1,Mrs
35,Q,0,7.75,0,1098,3,female,0,9,Miss
35,Q,0,12.35,0,908,2,male,0,2,Mr
35,S,0,7.8958,0,948,3,male,0,3,Mr
36,C,0,31.6792,0,1004,1,female,0,P,Miss
36,C,0,75.2417,0,1010,1,male,0,1,Mr
36,C,0,262.375,0,951,1,female,0,P,Miss
36,S,0,7.25,0,1177,3,male,0,A,Mr
36,S,0,9.5,0,1186,3,male,0,3,Mr
36,S,0,13,0,1121,2,male,0,2,Mr
36,S,1,17.4,0,1152,3,male,1,3,Mr
36,S,2,12.1833,2,1045,3,female,0,3,Mrs
36,S,2,15.9,2,941,3,female,0,C,Mrs
36,S,3,39,3,1070,2,female,0,2,Mrs
37,C,2,83.1583,1,1073,1,male,1,P,Mr
37,Q,0,7.75,0,1205,3,female,0,3,Miss
37,Q,1,90,0,1303,1,female,1,1,Mrs
38,C,0,7.2292,0,1239,3,female,0,2,Mrs
38,S,0,7.25,0,1307,3,male,0,S,Mr
38,S,1,21,0,1293,2,male,1,2,Mr
38,S,6,7.775,2,1106,3,female,4,3,Miss
39,C,0,29.7,0,1223,1,male,0,P,Mr
39,C,0,108.9,0,1306,1,female,0,P,Dona
39,C,1,13.4167,1,932,3,male,0,3,Mr
39,C,1,71.2833,0,1126,1,male,1,P,Mr
39,C,2,7.2292,2,1229,3,male,0,2,Mr
39,S,0,211.3375,0,1216,1,female,0,2,Miss
40,S,0,13,0,1081,2,male,0,2,Mr
40,S,0,15.1,0,1120,3,male,0,C,Mr
40,S,0,16,0,1077,2,male,0,2,Mr
40,S,1,26,0,1169,2,male,1,2,Mr
40,S,6,31.3875,5,1066,3,male,1,3,Mr
40,S,7,46.9,6,1031,3,male,1,C,Mr
41,C,0,15.0458,0,1002,2,male,0,2,Mr
41,S,0,7.85,0,934,3,male,0,S,Mr
41,S,0,13,0,1056,2,male,0,2,Rev
41,S,0,30.5,0,920,1,male,0,1,Mr
41,S,1,51.8625,0,1137,1,male,1,1,Mr
42,S,0,13,0,1020,2,male,0,2,Mr
42,S,0,26.55,0,1036,1,male,0,1,Mr
42,S,0,26.55,0,1050,1,male,0,1,Mr
42,S,0,42.5,0,1107,1,male,0,1,Mr
42,S,2,32.5,1,1139,2,male,1,2,Mr
43,C,1,27.7208,0,1296,1,male,1,1,Mr
43,C,1,55.4417,0,992,1,female,1,1,Mrs
43,S,0,7.8958,0,1026,3,male,0,3,Mr
43,S,1,21,1,1194,2,male,0,S,Mr
44,S,0,13,0,1265,2,male,0,2,Mr
45,C,0,7.225,0,911,3,female,0,2,Mrs
45,C,0,29.7,0,938,1,male,0,P,Mr
45,C,0,262.375,0,1267,1,female,0,P,Miss
45,C,1,59.4,1,1260,1,female,0,1,Mrs
45,C,1,63.3583,1,1242,1,female,0,P,Mrs
45,C,2,134.5,1,1134,1,male,1,1,Mr
45,S,1,14.1083,0,1201,3,female,1,3,Mrs
45,S,1,52.5542,0,936,1,female,1,1,Mrs
45,S,2,30,2,1133,2,female,0,2,Mrs
46,C,0,75.2417,0,1162,1,male,0,1,Mr
46,C,0,79.2,0,1219,1,male,0,P,Mr
46,S,0,26,0,903,1,male,0,6,Mr
47,C,1,227.525,0,1094,1,male,1,P,Col
47,S,0,10.5,0,1285,2,male,0,C,Mr
47,S,0,42.4,0,959,1,male,0,1,Mr
47,S,1,7,0,893,3,female,1,3,Mrs
47,S,1,61.175,0,906,1,female,1,W,Mrs
48,C,0,50.4958,0,1058,1,male,0,P,Mr
48,C,1,106.425,0,1131,1,female,1,P,Mrs
48,C,2,79.2,1,1289,1,female,1,1,Mrs
48,C,4,262.375,3,916,1,female,1,P,Mrs
48,S,2,36.75,2,1222,2,female,0,C,Mrs
49,S,0,0,0,1264,1,male,0,1,Mr
49,S,0,26,0,974,1,male,0,1,Mr
49,S,3,65,2,1245,2,male,1,2,Mr
50,C,2,211.5,1,1110,1,female,1,1,Mrs
50,C,2,211.5,1,1299,1,male,1,1,Mr
50,S,0,26,0,1247,1,male,0,1,Mr
50,S,1,14.5,0,917,3,male,1,A,Mr
50,S,1,26,0,922,2,male,1,S,Mr
51,S,1,39.4,1,1283,1,female,0,P,Mrs
53,C,0,27.4458,0,1116,1,female,0,P,Mrs
53,C,0,28.5,0,1023,1,male,0,1,Col
53,S,2,81.8583,1,1185,1,male,1,3,Dr
54,C,1,55.4417,0,1069,1,male,1,1,Mr
54,S,2,81.8583,1,1266,1,female,1,3,Mrs
55,C,0,27.7208,0,1132,1,female,0,1,Mrs
55,C,0,135.6333,0,1206,1,female,0,P,Mrs
55,C,1,59.4,0,912,1,male,1,P,Mr
55,S,0,50,0,1270,1,male,0,6,Mr
55,S,2,25.7,0,969,1,female,2,1,Mrs
55,S,2,93.5,1,1200,1,male,1,1,Mr
57,C,1,146.5208,0,1208,1,male,1,P,Mr
57,S,0,13,0,1279,2,male,0,2,Mr
57,S,2,164.8667,1,1109,1,male,1,3,Mr
58,C,1,512.3292,1,1235,1,female,0,P,Mrs
59,S,2,51.4792,0,1248,1,female,2,1,Mrs
60,C,0,76.2917,0,940,1,female,0,1,Mrs
60,S,0,,0,1044,3,male,0,3,Mr
60,S,1,26,0,1105,2,female,1,2,Mrs
60,S,5,263,4,961,1,female,1,1,Mrs
61,C,4,262.375,3,1034,1,male,1,P,Mr
61,Q,0,12.35,0,1085,2,male,0,2,Mr
62,Q,0,9.6875,0,894,2,male,0,2,Mr
63,S,1,26,0,905,2,male,1,2,Mr
63,S,1,221.7792,0,1006,1,female,1,P,Mrs
64,C,1,75.25,0,1128,1,male,1,1,Mr
64,C,2,83.1583,2,1071,1,female,0,P,Mrs
64,S,2,26.55,1,1197,1,female,1,1,Mrs
67,S,1,221.7792,0,973,1,male,1,P,Mr
76,S,1,78.85,0,988,1,female,1,1,Mrs
